component,sample_date,biomass,stand
male_cones,1983-09-07,0.28,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,4.48,2
pine_needles,1983-10-07,6.28,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,0,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.44,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,6.72,2
pine_needles,1983-11-07,12.56,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0.04,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.4,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,13.04,2
pine_needles,1984-05-07,49.08,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0.04,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,0.92,2
male_cones,1984-05-07,0.16,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,50.2,2
pine_needles,annual_mean,113.6,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,0.08,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,11.6,2
male_cones,annual_mean,6.04,2
female_cones,annual_mean,0,2
total_litter,annual_mean,131.32,2
pine_needles,1983-06-07,3.56,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.44,2
male_cones,1983-06-07,0.16,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,4.16,2
pine_needles,1983-07-02,5.52,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,0.12,2
male_cones,1983-07-02,0.76,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,6.4,2
pine_needles,1983-08-07,8.8,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,3.24,2
male_cones,1983-08-07,0.96,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,13,2
pine_needles,1983-09-07,3.92,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,0.36,2
male_cones,1983-09-07,0.2,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,4.48,2
pine_needles,1983-10-07,8.88,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,0,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.24,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,9.12,2
pine_needles,1983-11-07,17.44,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0.12,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.04,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,17.64,2
pine_needles,1984-05-07,47.6,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,0.4,2
male_cones,1984-05-07,0.08,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,48.08,2
pine_needles,annual_mean,95.72,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,0.12,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,4.84,2
male_cones,annual_mean,2.2,2
female_cones,annual_mean,0,2
total_litter,annual_mean,102.88,2
pine_needles,1983-06-07,1,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.04,2
male_cones,1983-06-07,0,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,1.04,2
pine_needles,1983-07-02,9.92,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,0.76,2
male_cones,1983-07-02,3.28,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,13.96,2
pine_needles,1983-08-07,6.88,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0.08,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,2.92,2
male_cones,1983-08-07,0.32,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,10.2,2
pine_needles,1983-09-07,3.92,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,3,2
male_cones,1983-09-07,0.12,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,7.04,2
pine_needles,1983-10-07,6.24,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,0,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.12,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,6.36,2
pine_needles,1983-11-07,10.16,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.88,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,11.08,2
pine_needles,1984-05-07,35.4,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,3.96,2
male_cones,1984-05-07,0.08,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,39.44,2
pine_needles,annual_mean,73.52,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,0.08,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,11.68,2
male_cones,annual_mean,3.84,2
female_cones,annual_mean,0,2
total_litter,annual_mean,89.12,2
pine_needles,1983-06-07,8.08,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,10.28,2
male_cones,1983-06-07,0.48,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,18.84,2
pine_needles,1983-07-02,20.8,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,9.2,2
male_cones,1983-07-02,4.96,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,34.96,2
pine_needles,1983-08-07,12.96,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,16.28,2
male_cones,1983-08-07,0,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,29.24,2
pine_needles,1983-09-07,6.88,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0.2,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,4.04,2
male_cones,1983-09-07,0.16,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,11.28,2
pine_needles,1983-10-07,21.68,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,15.4,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.04,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,37.12,2
pine_needles,1983-11-07,28.76,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,2.24,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,1,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,32.04,2
pine_needles,1984-05-07,45.16,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0.76,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,4.36,2
male_cones,1984-05-07,0.16,2
female_cones,1984-05-07,2,2
total_litter,1984-05-07,52.44,2
pine_needles,annual_mean,144.32,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,18.6,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,45.2,2
male_cones,annual_mean,5.8,2
female_cones,annual_mean,2,2
total_litter,annual_mean,215.92,2
pine_needles,1983-06-07,3.8,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,2.44,2
male_cones,1983-06-07,0.24,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,6.48,2
pine_needles,1983-07-02,26.6,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,4.56,2
male_cones,1983-07-02,4.96,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,36.12,2
pine_needles,1983-08-07,23.72,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,18.24,2
male_cones,1983-08-07,1.8,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,43.76,2
pine_needles,1983-09-07,12.76,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,4.72,2
male_cones,1983-09-07,0.44,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,17.92,2
pine_needles,1983-10-07,20.36,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,3.08,2
aspen_leaves,1983-10-07,0.68,2
structural,1983-10-07,1.76,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0.52,2
total_litter,1983-10-07,26.4,2
pine_needles,1983-11-07,34.08,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0.4,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,2.16,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,36.68,2
pine_needles,1984-05-07,64.92,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,1.52,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,19.04,2
male_cones,1984-05-07,0.12,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,85.6,2
pine_needles,annual_mean,186.24,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,5,2
aspen_leaves,annual_mean,0.68,2
structural,annual_mean,52.92,2
male_cones,annual_mean,7.6,2
female_cones,annual_mean,0.52,2
total_litter,annual_mean,252.96,2
pine_needles,1983-06-07,5.44,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.04,2
male_cones,1983-06-07,0.04,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,5.52,2
pine_needles,1983-07-02,6.76,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,0.28,2
male_cones,1983-07-02,2.44,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,9.48,2
pine_needles,1983-08-07,6.84,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,0.84,2
male_cones,1983-08-07,1.28,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,8.96,2
pine_needles,1983-09-07,4.84,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0.64,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,0.28,2
male_cones,1983-09-07,0.32,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,6.08,2
pine_needles,1983-10-07,7.36,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,0,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0,2
male_cones,1983-10-07,0,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,7.36,2
pine_needles,1983-11-07,16.64,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0.08,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.04,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,16.8,2
pine_needles,1984-05-07,48.52,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,2.08,2
male_cones,1984-05-07,0.24,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,50.84,2
pine_needles,annual_mean,96.4,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,0.72,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,3.56,2
male_cones,annual_mean,4.36,2
female_cones,annual_mean,0,2
total_litter,annual_mean,105.04,2
pine_needles,1983-06-07,4.6,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.04,2
male_cones,1983-06-07,0.56,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,5.2,2
pine_needles,1983-07-02,3.84,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,0.16,2
male_cones,1983-07-02,0.32,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,4.32,2
pine_needles,1983-08-07,21.76,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,2.04,2
male_cones,1983-08-07,0.92,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,24.72,2
pine_needles,1983-09-07,7.84,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,0.36,2
male_cones,1983-09-07,0.24,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,8.44,2
pine_needles,1983-10-07,9.8,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,0,2
aspen_leaves,1983-10-07,0.16,2
structural,1983-10-07,0,2
male_cones,1983-10-07,0.04,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,10,2
pine_needles,1983-11-07,13.68,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,0,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.12,2
male_cones,1983-11-07,0.04,2
female_cones,1983-11-07,0.04,2
total_litter,1983-11-07,13.88,2
pine_needles,1984-05-07,60.44,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,0.76,2
aspen_leaves,1984-05-07,0.36,2
structural,1984-05-07,0,2
male_cones,1984-05-07,0.36,2
female_cones,1984-05-07,10.8,2
total_litter,1984-05-07,72.72,2
pine_needles,annual_mean,121.96,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,0.76,2
aspen_leaves,annual_mean,0.52,2
structural,annual_mean,2.72,2
male_cones,annual_mean,2.48,2
female_cones,annual_mean,10.84,2
total_litter,annual_mean,139.28,2
pine_needles,1983-06-07,3.96,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0.12,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.32,2
male_cones,1983-06-07,1.2,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,5.6,2
pine_needles,1983-07-02,24.36,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,2.44,2
male_cones,1983-07-02,12.04,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,38.84,2
pine_needles,1983-08-07,24.56,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,17.52,2
male_cones,1983-08-07,4.96,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,47.04,2
pine_needles,1983-09-07,12.68,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,3.2,2
male_cones,1983-09-07,0.72,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,16.6,2
pine_needles,1983-10-07,27.12,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,37.24,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.24,2
male_cones,1983-10-07,0.12,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,64.72,2
pine_needles,1983-11-07,29.88,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,4.68,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.4,2
male_cones,1983-11-07,0.08,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,35.04,2
pine_needles,1984-05-07,68,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,3,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,10.92,2
male_cones,1984-05-07,0.64,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,82.56,2
pine_needles,annual_mean,190.56,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,45.04,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,35.04,2
male_cones,annual_mean,19.76,2
female_cones,annual_mean,0,2
total_litter,annual_mean,290.4,2
pine_needles,1983-06-07,4.24,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,2.28,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,2.64,2
male_cones,1983-06-07,2.16,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,11.32,2
pine_needles,1983-07-02,15.76,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0.4,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,3.08,2
male_cones,1983-07-02,7.24,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,26.48,2
pine_needles,1983-08-07,24.6,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,1.96,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,18.44,2
male_cones,1983-08-07,1.76,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,46.76,2
pine_needles,1983-09-07,12.2,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,2.44,2
male_cones,1983-09-07,0.56,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,15.2,2
pine_needles,1983-10-07,23.48,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,30.12,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,0.08,2
male_cones,1983-10-07,0.08,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,53.76,2
pine_needles,1983-11-07,43.52,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,3.48,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.6,2
male_cones,1983-11-07,0.08,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,47.68,2
pine_needles,1984-05-07,65.6,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,1.6,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,14.64,2
male_cones,1984-05-07,0.28,2
female_cones,1984-05-07,23.12,2
total_litter,1984-05-07,105.24,2
pine_needles,annual_mean,189.4,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,39.84,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,41.92,2
male_cones,annual_mean,12.16,2
female_cones,annual_mean,23.12,2
total_litter,annual_mean,306.44,2
pine_needles,1983-06-07,4.08,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0.56,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.2,2
male_cones,1983-06-07,0.4,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,5.24,2
pine_needles,1983-07-02,14.88,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0.32,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,0.68,2
male_cones,1983-07-02,13.04,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,28.92,2
pine_needles,1983-08-07,14.52,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0.12,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,7.88,2
male_cones,1983-08-07,2.48,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,25,2
pine_needles,1983-09-07,8.04,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,4.88,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,5.68,2
male_cones,1983-09-07,0.8,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,19.4,2
pine_needles,1983-10-07,31.04,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,41.92,2
aspen_leaves,1983-10-07,0,2
structural,1983-10-07,21.88,2
male_cones,1983-10-07,0.24,2
female_cones,1983-10-07,0,2
total_litter,1983-10-07,95.08,2
pine_needles,1983-11-07,33.48,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,3.6,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,3.92,2
male_cones,1983-11-07,0.16,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,41.16,2
pine_needles,1984-05-07,65.32,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,2.56,2
aspen_leaves,1984-05-07,0,2
structural,1984-05-07,22.12,2
male_cones,1984-05-07,0.24,2
female_cones,1984-05-07,0,2
total_litter,1984-05-07,90.24,2
pine_needles,annual_mean,171.36,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,53.96,2
aspen_leaves,annual_mean,0,2
structural,annual_mean,62.36,2
male_cones,annual_mean,17.36,2
female_cones,annual_mean,0,2
total_litter,annual_mean,305.04,2
pine_needles,1983-06-07,4.36,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0.3,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,1.65,2
male_cones,1983-06-07,0.56,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,6.87,2
pine_needles,1983-07-02,15.08,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0.07,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,2.38,2
male_cones,1983-07-02,5.22,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,22.74,2
pine_needles,1983-08-07,15.94,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0.22,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,9.42,2
male_cones,1983-08-07,1.65,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,27.23,2
pine_needles,1983-09-07,7.68,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0.57,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,2.46,2
male_cones,1983-09-07,0.38,2
female_cones,1983-09-07,0,2
total_litter,1983-09-07,11.09,2
pine_needles,1983-10-07,16.22,2
spruce_needles,1983-10-07,0,2
fir_needles,1983-10-07,0,2
alder_leaves,1983-10-07,12.78,2
aspen_leaves,1983-10-07,0.08,2
structural,1983-10-07,2.48,2
male_cones,1983-10-07,0.05,2
female_cones,1983-10-07,0.05,2
total_litter,1983-10-07,31.66,2
pine_needles,1983-11-07,24.02,2
spruce_needles,1983-11-07,0,2
fir_needles,1983-11-07,0,2
alder_leaves,1983-11-07,1.46,2
aspen_leaves,1983-11-07,0,2
structural,1983-11-07,0.96,2
male_cones,1983-11-07,0.06,2
female_cones,1983-11-07,0,2
total_litter,1983-11-07,26.5,2
pine_needles,1984-05-07,55,2
spruce_needles,1984-05-07,0,2
fir_needles,1984-05-07,0,2
alder_leaves,1984-05-07,1.02,2
aspen_leaves,1984-05-07,0.04,2
structural,1984-05-07,7.84,2
male_cones,1984-05-07,0.24,2
female_cones,1984-05-07,3.59,2
total_litter,1984-05-07,67.74,2
pine_needles,annual_mean,138.3,2
spruce_needles,annual_mean,0,2
fir_needles,annual_mean,0,2
alder_leaves,annual_mean,16.42,2
aspen_leaves,annual_mean,0.12,2
structural,annual_mean,27.19,2
male_cones,annual_mean,8.16,2
female_cones,annual_mean,3.64,2
total_litter,annual_mean,193.83,2
pine_needles,1983-06-07,1.76,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0.72,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,3.19,2
male_cones,1983-06-07,0.66,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,4.9,2
pine_needles,1983-07-02,8.29,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0.15,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,2.82,2
male_cones,1983-07-02,4.37,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,13.02,2
pine_needles,1983-08-07,7.24,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0.61,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,7.38,2
male_cones,1983-08-07,1.39,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,14.54,2
pine_needles,1983-09-07,3.72,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,1.53,2
aspen_leaves,1983-09-07,0,2
