component,date,biomass_g_per_m2,stand,trap_number
total_litter,1983-06-07,11.32,2,9
alder_leaves,1983-06-07,0.56,2,10
aspen_leaves,1983-06-07,0,2,10
female_cones,1983-06-07,0,2,10
fir_needles,1983-06-07,0,2,10
male_cones,1983-06-07,0.4,2,10
pine_needles,1983-06-07,4.08,2,10
spruce_needles,1983-06-07,0,2,10
structural,1983-06-07,0.2,2,10
total_litter,1983-06-07,5.24,2,10
alder_leaves,1983-07-02,0,2,1
aspen_leaves,1983-07-02,0,2,1
female_cones,1983-07-02,0,2,1
fir_needles,1983-07-02,0,2,1
male_cones,1983-07-02,3.12,2,1
pine_needles,1983-07-02,22.32,2,1
spruce_needles,1983-07-02,0,2,1
structural,1983-07-02,2.48,2,1
total_litter,1983-07-02,27.92,2,1
alder_leaves,1983-07-02,0,2,2
aspen_leaves,1983-07-02,0,2,2
female_cones,1983-07-02,0,2,2
fir_needles,1983-07-02,0,2,2
male_cones,1983-07-02,0.76,2,2
pine_needles,1983-07-02,5.52,2,2
spruce_needles,1983-07-02,0,2,2
structural,1983-07-02,0.12,2,2
total_litter,1983-07-02,6.4,2,2
alder_leaves,1983-07-02,0,2,3
aspen_leaves,1983-07-02,0,2,3
female_cones,1983-07-02,0,2,3
fir_needles,1983-07-02,0,2,3
male_cones,1983-07-02,3.28,2,3
pine_needles,1983-07-02,9.92,2,3
spruce_needles,1983-07-02,0,2,3
structural,1983-07-02,0.76,2,3
total_litter,1983-07-02,13.96,2,3
alder_leaves,1983-07-02,0,2,4
aspen_leaves,1983-07-02,0,2,4
female_cones,1983-07-02,0,2,4
fir_needles,1983-07-02,0,2,4
male_cones,1983-07-02,4.96,2,4
pine_needles,1983-07-02,20.8,2,4
spruce_needles,1983-07-02,0,2,4
structural,1983-07-02,9.2,2,4
total_litter,1983-07-02,34.96,2,4
alder_leaves,1983-07-02,0,2,5
aspen_leaves,1983-07-02,0,2,5
female_cones,1983-07-02,0,2,5
fir_needles,1983-07-02,0,2,5
male_cones,1983-07-02,4.96,2,5
pine_needles,1983-07-02,26.6,2,5
spruce_needles,1983-07-02,0,2,5
structural,1983-07-02,4.56,2,5
total_litter,1983-07-02,36.12,2,5
alder_leaves,1983-07-02,0,2,6
aspen_leaves,1983-07-02,0,2,6
female_cones,1983-07-02,0,2,6
fir_needles,1983-07-02,0,2,6
male_cones,1983-07-02,2.44,2,6
pine_needles,1983-07-02,6.76,2,6
spruce_needles,1983-07-02,0,2,6
structural,1983-07-02,0.28,2,6
total_litter,1983-07-02,9.48,2,6
alder_leaves,1983-07-02,0,2,7
aspen_leaves,1983-07-02,0,2,7
female_cones,1983-07-02,0,2,7
fir_needles,1983-07-02,0,2,7
male_cones,1983-07-02,0.32,2,7
pine_needles,1983-07-02,3.84,2,7
spruce_needles,1983-07-02,0,2,7
structural,1983-07-02,0.16,2,7
total_litter,1983-07-02,4.32,2,7
alder_leaves,1983-07-02,0,2,8
aspen_leaves,1983-07-02,0,2,8
female_cones,1983-07-02,0,2,8
fir_needles,1983-07-02,0,2,8
male_cones,1983-07-02,12.04,2,8
pine_needles,1983-07-02,24.36,2,8
spruce_needles,1983-07-02,0,2,8
structural,1983-07-02,2.44,2,8
total_litter,1983-07-02,38.84,2,8
alder_leaves,1983-07-02,0.4,2,9
aspen_leaves,1983-07-02,0,2,9
female_cones,1983-07-02,0,2,9
fir_needles,1983-07-02,0,2,9
male_cones,1983-07-02,7.24,2,9
pine_needles,1983-07-02,15.76,2,9
spruce_needles,1983-07-02,0,2,9
structural,1983-07-02,3.08,2,9
total_litter,1983-07-02,26.48,2,9
alder_leaves,1983-07-02,0.32,2,10
aspen_leaves,1983-07-02,0,2,10
female_cones,1983-07-02,0,2,10
fir_needles,1983-07-02,0,2,10
male_cones,1983-07-02,13.04,2,10
pine_needles,1983-07-02,14.88,2,10
spruce_needles,1983-07-02,0,2,10
structural,1983-07-02,0.68,2,10
total_litter,1983-07-02,28.92,2,10
alder_leaves,1983-08-07,0,2,1
aspen_leaves,1983-08-07,0,2,1
female_cones,1983-08-07,0,2,1
fir_needles,1983-08-07,0,2,1
male_cones,1983-08-07,2.04,2,1
pine_needles,1983-08-07,14.8,2,1
spruce_needles,1983-08-07,0,2,1
structural,1983-08-07,6.8,2,1
total_litter,1983-08-07,23.64,2,1
alder_leaves,1983-08-07,0,2,2
aspen_leaves,1983-08-07,0,2,2
female_cones,1983-08-07,0,2,2
fir_needles,1983-08-07,0,2,2
male_cones,1983-08-07,0.96,2,2
pine_needles,1983-08-07,8.8,2,2
spruce_needles,1983-08-07,0,2,2
structural,1983-08-07,3.24,2,2
total_litter,1983-08-07,13,2,2
alder_leaves,1983-08-07,0.08,2,3
aspen_leaves,1983-08-07,0,2,3
female_cones,1983-08-07,0,2,3
fir_needles,1983-08-07,0,2,3
male_cones,1983-08-07,0.32,2,3
pine_needles,1983-08-07,6.88,2,3
spruce_needles,1983-08-07,0,2,3
structural,1983-08-07,2.92,2,3
total_litter,1983-08-07,10.2,2,3
alder_leaves,1983-08-07,0,2,4
aspen_leaves,1983-08-07,0,2,4
female_cones,1983-08-07,0,2,4
fir_needles,1983-08-07,0,2,4
male_cones,1983-08-07,0,2,4
pine_needles,1983-08-07,12.96,2,4
spruce_needles,1983-08-07,0,2,4
structural,1983-08-07,16.28,2,4
total_litter,1983-08-07,29.24,2,4
alder_leaves,1983-08-07,0,2,5
aspen_leaves,1983-08-07,0,2,5
female_cones,1983-08-07,0,2,5
fir_needles,1983-08-07,0,2,5
male_cones,1983-08-07,1.8,2,5
pine_needles,1983-08-07,23.72,2,5
spruce_needles,1983-08-07,0,2,5
structural,1983-08-07,18.24,2,5
total_litter,1983-08-07,43.76,2,5
alder_leaves,1983-08-07,0,2,6
aspen_leaves,1983-08-07,0,2,6
female_cones,1983-08-07,0,2,6
fir_needles,1983-08-07,0,2,6
male_cones,1983-08-07,1.28,2,6
pine_needles,1983-08-07,6.84,2,6
spruce_needles,1983-08-07,0,2,6
structural,1983-08-07,0.84,2,6
total_litter,1983-08-07,8.96,2,6
alder_leaves,1983-08-07,0,2,7
aspen_leaves,1983-08-07,0,2,7
female_cones,1983-08-07,0,2,7
fir_needles,1983-08-07,0,2,7
male_cones,1983-08-07,0.92,2,7
pine_needles,1983-08-07,21.76,2,7
spruce_needles,1983-08-07,0,2,7
structural,1983-08-07,2.04,2,7
total_litter,1983-08-07,24.72,2,7
alder_leaves,1983-08-07,0,2,8
aspen_leaves,1983-08-07,0,2,8
female_cones,1983-08-07,0,2,8
fir_needles,1983-08-07,0,2,8
male_cones,1983-08-07,4.96,2,8
pine_needles,1983-08-07,24.56,2,8
spruce_needles,1983-08-07,0,2,8
structural,1983-08-07,17.52,2,8
total_litter,1983-08-07,47.04,2,8
alder_leaves,1983-08-07,1.96,2,9
aspen_leaves,1983-08-07,0,2,9
female_cones,1983-08-07,0,2,9
fir_needles,1983-08-07,0,2,9
male_cones,1983-08-07,1.76,2,9
pine_needles,1983-08-07,24.6,2,9
spruce_needles,1983-08-07,0,2,9
structural,1983-08-07,18.44,2,9
total_litter,1983-08-07,46.76,2,9
alder_leaves,1983-08-07,0.12,2,10
aspen_leaves,1983-08-07,0,2,10
female_cones,1983-08-07,0,2,10
fir_needles,1983-08-07,0,2,10
male_cones,1983-08-07,2.48,2,10
pine_needles,1983-08-07,14.52,2,10
spruce_needles,1983-08-07,0,2,10
structural,1983-08-07,7.88,2,10
total_litter,1983-08-07,25,2,10
alder_leaves,1983-09-07,0,2,1
aspen_leaves,1983-09-07,0,2,1
female_cones,1983-09-07,0,2,1
fir_needles,1983-09-07,0,2,1
male_cones,1983-09-07,0.28,2,1
pine_needles,1983-09-07,3.68,2,1
spruce_needles,1983-09-07,0,2,1
structural,1983-09-07,0.52,2,1
total_litter,1983-09-07,4.48,2,1
alder_leaves,1983-09-07,0,2,2
aspen_leaves,1983-09-07,0,2,2
female_cones,1983-09-07,0,2,2
fir_needles,1983-09-07,0,2,2
male_cones,1983-09-07,0.2,2,2
pine_needles,1983-09-07,3.92,2,2
spruce_needles,1983-09-07,0,2,2
structural,1983-09-07,0.36,2,2
total_litter,1983-09-07,4.48,2,2
alder_leaves,1983-09-07,0,2,3
aspen_leaves,1983-09-07,0,2,3
female_cones,1983-09-07,0,2,3
fir_needles,1983-09-07,0,2,3
male_cones,1983-09-07,0.12,2,3
pine_needles,1983-09-07,3.92,2,3
spruce_needles,1983-09-07,0,2,3
structural,1983-09-07,3,2,3
total_litter,1983-09-07,7.04,2,3
alder_leaves,1983-09-07,0.2,2,4
aspen_leaves,1983-09-07,0,2,4
female_cones,1983-09-07,0,2,4
fir_needles,1983-09-07,0,2,4
male_cones,1983-09-07,0.16,2,4
pine_needles,1983-09-07,6.88,2,4
spruce_needles,1983-09-07,0,2,4
structural,1983-09-07,4.04,2,4
total_litter,1983-09-07,11.28,2,4
alder_leaves,1983-09-07,0,2,5
aspen_leaves,1983-09-07,0,2,5
female_cones,1983-09-07,0,2,5
fir_needles,1983-09-07,0,2,5
male_cones,1983-09-07,0.44,2,5
pine_needles,1983-09-07,12.76,2,5
spruce_needles,1983-09-07,0,2,5
structural,1983-09-07,4.72,2,5
total_litter,1983-09-07,17.92,2,5
alder_leaves,1983-09-07,0.64,2,6
aspen_leaves,1983-09-07,0,2,6
female_cones,1983-09-07,0,2,6
fir_needles,1983-09-07,0,2,6
male_cones,1983-09-07,0.32,2,6
pine_needles,1983-09-07,4.84,2,6
spruce_needles,1983-09-07,0,2,6
structural,1983-09-07,0.28,2,6
total_litter,1983-09-07,6.08,2,6
alder_leaves,1983-09-07,0,2,7
aspen_leaves,1983-09-07,0,2,7
female_cones,1983-09-07,0,2,7
fir_needles,1983-09-07,0,2,7
male_cones,1983-09-07,0.24,2,7
pine_needles,1983-09-07,7.84,2,7
spruce_needles,1983-09-07,0,2,7
structural,1983-09-07,0.36,2,7
total_litter,1983-09-07,8.44,2,7
alder_leaves,1983-09-07,0,2,8
aspen_leaves,1983-09-07,0,2,8
female_cones,1983-09-07,0,2,8
fir_needles,1983-09-07,0,2,8
male_cones,1983-09-07,0.72,2,8
pine_needles,1983-09-07,12.68,2,8
spruce_needles,1983-09-07,0,2,8
structural,1983-09-07,3.2,2,8
total_litter,1983-09-07,16.6,2,8
alder_leaves,1983-09-07,0,2,9
aspen_leaves,1983-09-07,0,2,9
female_cones,1983-09-07,0,2,9
fir_needles,1983-09-07,0,2,9
male_cones,1983-09-07,0.56,2,9
pine_needles,1983-09-07,12.2,2,9
spruce_needles,1983-09-07,0,2,9
structural,1983-09-07,2.44,2,9
total_litter,1983-09-07,15.2,2,9
alder_leaves,1983-09-07,4.88,2,10
aspen_leaves,1983-09-07,0,2,10
female_cones,1983-09-07,0,2,10
fir_needles,1983-09-07,0,2,10
male_cones,1983-09-07,0.8,2,10
pine_needles,1983-09-07,8.04,2,10
spruce_needles,1983-09-07,0,2,10
structural,1983-09-07,5.68,2,10
total_litter,1983-09-07,19.4,2,10
alder_leaves,1983-10-07,0,2,1
aspen_leaves,1983-10-07,0,2,1
female_cones,1983-10-07,0,2,1
fir_needles,1983-10-07,0,2,1
male_cones,1983-10-07,0,2,1
pine_needles,1983-10-07,6.28,2,1
spruce_needles,1983-10-07,0,2,1
structural,1983-10-07,0.44,2,1
total_litter,1983-10-07,6.72,2,1
alder_leaves,1983-10-07,0,2,2
aspen_leaves,1983-10-07,0,2,2
female_cones,1983-10-07,0,2,2
fir_needles,1983-10-07,0,2,2
male_cones,1983-10-07,0,2,2
pine_needles,1983-10-07,8.88,2,2
spruce_needles,1983-10-07,0,2,2
structural,1983-10-07,0.24,2,2
total_litter,1983-10-07,9.12,2,2
alder_leaves,1983-10-07,0,2,3
aspen_leaves,1983-10-07,0,2,3
female_cones,1983-10-07,0,2,3
fir_needles,1983-10-07,0,2,3
male_cones,1983-10-07,0,2,3
pine_needles,1983-10-07,6.24,2,3
spruce_needles,1983-10-07,0,2,3
structural,1983-10-07,0.12,2,3
total_litter,1983-10-07,6.36,2,3
alder_leaves,1983-10-07,15.4,2,4
aspen_leaves,1983-10-07,0,2,4
female_cones,1983-10-07,0,2,4
fir_needles,1983-10-07,0,2,4
male_cones,1983-10-07,0,2,4
pine_needles,1983-10-07,21.68,2,4
spruce_needles,1983-10-07,0,2,4
structural,1983-10-07,0.04,2,4
total_litter,1983-10-07,37.12,2,4
alder_leaves,1983-10-07,3.08,2,5
aspen_leaves,1983-10-07,0.68,2,5
female_cones,1983-10-07,0.52,2,5
fir_needles,1983-10-07,0,2,5
male_cones,1983-10-07,0,2,5
pine_needles,1983-10-07,20.36,2,5
spruce_needles,1983-10-07,0,2,5
structural,1983-10-07,1.76,2,5
total_litter,1983-10-07,26.4,2,5
alder_leaves,1983-10-07,0,2,6
aspen_leaves,1983-10-07,0,2,6
female_cones,1983-10-07,0,2,6
fir_needles,1983-10-07,0,2,6
male_cones,1983-10-07,0,2,6
pine_needles,1983-10-07,7.36,2,6
spruce_needles,1983-10-07,0,2,6
structural,1983-10-07,0,2,6
total_litter,1983-10-07,7.36,2,6
alder_leaves,1983-10-07,0,2,7
aspen_leaves,1983-10-07,0.16,2,7
female_cones,1983-10-07,0,2,7
fir_needles,1983-10-07,0,2,7
male_cones,1983-10-07,0.04,2,7
pine_needles,1983-10-07,9.8,2,7
spruce_needles,1983-10-07,0,2,7
structural,1983-10-07,0,2,7
total_litter,1983-10-07,10,2,7
alder_leaves,1983-10-07,37.24,2,8
aspen_leaves,1983-10-07,0,2,8
female_cones,1983-10-07,0,2,8
fir_needles,1983-10-07,0,2,8
male_cones,1983-10-07,0.12,2,8
pine_needles,1983-10-07,27.12,2,8
spruce_needles,1983-10-07,0,2,8
structural,1983-10-07,0.24,2,8
total_litter,1983-10-07,64.72,2,8
alder_leaves,1983-10-07,30.12,2,9
aspen_leaves,1983-10-07,0,2,9
female_cones,1983-10-07,0,2,9
fir_needles,1983-10-07,0,2,9
male_cones,1983-10-07,0.08,2,9
pine_needles,1983-10-07,23.48,2,9
spruce_needles,1983-10-07,0,2,9
structural,1983-10-07,0.08,2,9
total_litter,1983-10-07,53.76,2,9
alder_leaves,1983-10-07,41.92,2,10
aspen_leaves,1983-10-07,0,2,10
female_cones,1983-10-07,0,2,10
fir_needles,1983-10-07,0,2,10
male_cones,1983-10-07,0.24,2,10
pine_needles,1983-10-07,31.04,2,10
spruce_needles,1983-10-07,0,2,10
structural,1983-10-07,21.88,2,10
total_litter,1983-10-07,95.08,2,10
alder_leaves,1983-11-07,0.04,2,1
aspen_leaves,1983-11-07,0,2,1
female_cones,1983-11-07,0,2,1
fir_needles,1983-11-07,0,2,1
male_cones,1983-11-07,0.04,2,1
pine_needles,1983-11-07,12.56,2,1
spruce_needles,1983-11-07,0,2,1
structural,1983-11-07,0.4,2,1
total_litter,1983-11-07,13.04,2,1
alder_leaves,1983-11-07,0.12,2,2
aspen_leaves,1983-11-07,0,2,2
female_cones,1983-11-07,0,2,2
fir_needles,1983-11-07,0,2,2
male_cones,1983-11-07,0.04,2,2
pine_needles,1983-11-07,17.44,2,2
spruce_needles,1983-11-07,0,2,2
structural,1983-11-07,0.04,2,2
total_litter,1983-11-07,17.64,2,2
alder_leaves,1983-11-07,0,2,3
aspen_leaves,1983-11-07,0,2,3
female_cones,1983-11-07,0,2,3
fir_needles,1983-11-07,0,2,3
male_cones,1983-11-07,0.04,2,3
pine_needles,1983-11-07,10.16,2,3
spruce_needles,1983-11-07,0,2,3
structural,1983-11-07,0.88,2,3
total_litter,1983-11-07,11.08,2,3
alder_leaves,1983-11-07,2.24,2,4
aspen_leaves,1983-11-07,0,2,4
female_cones,1983-11-07,0,2,4
fir_needles,1983-11-07,0,2,4
male_cones,1983-11-07,0.04,2,4
pine_needles,1983-11-07,28.76,2,4
spruce_needles,1983-11-07,0,2,4
structural,1983-11-07,1,2,4
total_litter,1983-11-07,32.04,2,4
alder_leaves,1983-11-07,0.4,2,5
aspen_leaves,1983-11-07,0,2,5
female_cones,1983-11-07,0,2,5
fir_needles,1983-11-07,0,2,5
male_cones,1983-11-07,0.04,2,5
pine_needles,1983-11-07,34.08,2,5
spruce_needles,1983-11-07,0,2,5
structural,1983-11-07,2.16,2,5
total_litter,1983-11-07,36.68,2,5
alder_leaves,1983-11-07,0.08,2,6
aspen_leaves,1983-11-07,0,2,6
female_cones,1983-11-07,0,2,6
fir_needles,1983-11-07,0,2,6
male_cones,1983-11-07,0.04,2,6
pine_needles,1983-11-07,16.64,2,6
spruce_needles,1983-11-07,0,2,6
structural,1983-11-07,0.04,2,6
total_litter,1983-11-07,16.8,2,6
alder_leaves,1983-11-07,0,2,7
aspen_leaves,1983-11-07,0,2,7
female_cones,1983-11-07,0.04,2,7
fir_needles,1983-11-07,0,2,7
male_cones,1983-11-07,0.04,2,7
pine_needles,1983-11-07,13.68,2,7
spruce_needles,1983-11-07,0,2,7
structural,1983-11-07,0.12,2,7
total_litter,1983-11-07,13.88,2,7
alder_leaves,1983-11-07,4.68,2,8
aspen_leaves,1983-11-07,0,2,8
female_cones,1983-11-07,0,2,8
fir_needles,1983-11-07,0,2,8
male_cones,1983-11-07,0.08,2,8
pine_needles,1983-11-07,29.88,2,8
spruce_needles,1983-11-07,0,2,8
structural,1983-11-07,0.4,2,8
total_litter,1983-11-07,35.04,2,8
alder_leaves,1983-11-07,3.48,2,9
aspen_leaves,1983-11-07,0,2,9
female_cones,1983-11-07,0,2,9
fir_needles,1983-11-07,0,2,9
male_cones,1983-11-07,0.08,2,9
pine_needles,1983-11-07,43.52,2,9
spruce_needles,1983-11-07,0,2,9
structural,1983-11-07,0.6,2,9
total_litter,1983-11-07,47.68,2,9
alder_leaves,1983-11-07,3.6,2,10
aspen_leaves,1983-11-07,0,2,10
female_cones,1983-11-07,0,2,10
fir_needles,1983-11-07,0,2,10
male_cones,1983-11-07,0.16,2,10
pine_needles,1983-11-07,33.48,2,10
spruce_needles,1983-11-07,0,2,10
structural,1983-11-07,3.92,2,10
total_litter,1983-11-07,41.16,2,10
alder_leaves,1984-05-07,0.04,2,1
aspen_leaves,1984-05-07,0,2,1
female_cones,1984-05-07,0,2,1
fir_needles,1984-05-07,0,2,1
male_cones,1984-05-07,0.16,2,1
pine_needles,1984-05-07,49.08,2,1
spruce_needles,1984-05-07,0,2,1
structural,1984-05-07,0.92,2,1
total_litter,1984-05-07,50.2,2,1
alder_leaves,1984-05-07,0,2,2
aspen_leaves,1984-05-07,0,2,2
female_cones,1984-05-07,0,2,2
fir_needles,1984-05-07,0,2,2
male_cones,1984-05-07,0.08,2,2
pine_needles,1984-05-07,47.6,2,2
spruce_needles,1984-05-07,0,2,2
structural,1984-05-07,0.4,2,2
total_litter,1984-05-07,48.08,2,2
alder_leaves,1984-05-07,0,2,3
aspen_leaves,1984-05-07,0,2,3
female_cones,1984-05-07,0,2,3
fir_needles,1984-05-07,0,2,3
male_cones,1984-05-07,0.08,2,3
pine_needles,1984-05-07,35.4,2,3
spruce_needles,1984-05-07,0,2,3
structural,1984-05-07,3.96,2,3
total_litter,1984-05-07,39.44,2,3
alder_leaves,1984-05-07,0.76,2,4
aspen_leaves,1984-05-07,0,2,4
female_cones,1984-05-07,2,2,4
fir_needles,1984-05-07,0,2,4
male_cones,1984-05-07,0.16,2,4
pine_needles,1984-05-07,45.16,2,4
spruce_needles,1984-05-07,0,2,4
structural,1984-05-07,4.36,2,4
total_litter,1984-05-07,52.44,2,4
alder_leaves,1984-05-07,1.52,2,5
aspen_leaves,1984-05-07,0,2,5
female_cones,1984-05-07,0,2,5
fir_needles,1984-05-07,0,2,5
male_cones,1984-05-07,0.12,2,5
pine_needles,1984-05-07,64.92,2,5
spruce_needles,1984-05-07,0,2,5
structural,1984-05-07,19.04,2,5
total_litter,1984-05-07,85.6,2,5
alder_leaves,1984-05-07,0,2,6
aspen_leaves,1984-05-07,0,2,6
female_cones,1984-05-07,0,2,6
fir_needles,1984-05-07,0,2,6
male_cones,1984-05-07,0.24,2,6
pine_needles,1984-05-07,48.52,2,6
spruce_needles,1984-05-07,0,2,6
structural,1984-05-07,2.08,2,6
total_litter,1984-05-07,50.84,2,6
alder_leaves,1984-05-07,0.76,2,7
aspen_leaves,1984-05-07,0.36,2,7
female_cones,1984-05-07,10.8,2,7
fir_needles,1984-05-07,0,2,7
male_cones,1984-05-07,0.36,2,7
pine_needles,1984-05-07,60.44,2,7
spruce_needles,1984-05-07,0,2,7
structural,1984-05-07,0,2,7
total_litter,1984-05-07,72.72,2,7
alder_leaves,1984-05-07,3,2,8
aspen_leaves,1984-05-07,0,2,8
female_cones,1984-05-07,0,2,8
fir_needles,1984-05-07,0,2,8
male_cones,1984-05-07,0.64,2,8
pine_needles,1984-05-07,68,2,8
spruce_needles,1984-05-07,0,2,8
structural,1984-05-07,10.92,2,8
total_litter,1984-05-07,82.56,2,8
alder_leaves,1984-05-07,1.6,2,9
aspen_leaves,1984-05-07,0,2,9
female_cones,1984-05-07,23.12,2,9
fir_needles,1984-05-07,0,2,9
male_cones,1984-05-07,0.28,2,9
pine_needles,1984-05-07,65.6,2,9
spruce_needles,1984-05-07,0,2,9
structural,1984-05-07,14.64,2,9
total_litter,1984-05-07,105.24,2,9
alder_leaves,1984-05-07,2.56,2,10
aspen_leaves,1984-05-07,0,2,10
female_cones,1984-05-07,0,2,10
fir_needles,1984-05-07,0,2,10
male_cones,1984-05-07,0.24,2,10
pine_needles,1984-05-07,65.32,2,10
spruce_needles,1984-05-07,0,2,10
structural,1984-05-07,22.12,2,10
total_litter,1984-05-07,90.24,2,10
alder_leaves,1983-06-07,0.72,3,1
aspen_leaves,1983-06-07,0,3,1
female_cones,1983-06-07,0,3,1
fir_needles,1983-06-07,0,3,1
male_cones,1983-06-07,0.84,3,1
pine_needles,1983-06-07,4.72,3,1
spruce_needles,1983-06-07,0,3,1
structural,1983-06-07,1.96,3,1
total_litter,1983-06-07,8.24,3,1
alder_leaves,1983-06-07,1.96,3,2
aspen_leaves,1983-06-07,0,3,2
female_cones,1983-06-07,0,3,2
fir_needles,1983-06-07,0,3,2
male_cones,1983-06-07,1.36,3,2
pine_needles,1983-06-07,7.44,3,2
spruce_needles,1983-06-07,1,3,2
structural,1983-06-07,2.68,3,2
total_litter,1983-06-07,14.44,3,2
alder_leaves,1983-06-07,0.32,3,3
aspen_leaves,1983-06-07,0,3,3
female_cones,1983-06-07,0,3,3
fir_needles,1983-06-07,0,3,3
male_cones,1983-06-07,0.6,3,3
pine_needles,1983-06-07,6.8,3,3
spruce_needles,1983-06-07,0,3,3
structural,1983-06-07,1.72,3,3
total_litter,1983-06-07,9.44,3,3
alder_leaves,1983-06-07,0.76,3,4
aspen_leaves,1983-06-07,0,3,4
female_cones,1983-06-07,0,3,4
fir_needles,1983-06-07,0,3,4
male_cones,1983-06-07,0.48,3,4
pine_needles,1983-06-07,6.12,3,4
spruce_needles,1983-06-07,0,3,4
structural,1983-06-07,5.44,3,4
total_litter,1983-06-07,12.8,3,4
alder_leaves,1983-06-07,0.44,3,5
aspen_leaves,1983-06-07,0.04,3,5
female_cones,1983-06-07,0,3,5
fir_needles,1983-06-07,0,3,5
male_cones,1983-06-07,0.8,3,5
pine_needles,1983-06-07,4.92,3,5
spruce_needles,1983-06-07,0.12,3,5
structural,1983-06-07,1.52,3,5
total_litter,1983-06-07,7.84,3,5
alder_leaves,1983-06-07,0.2,3,6
aspen_leaves,1983-06-07,0,3,6
female_cones,1983-06-07,0,3,6
fir_needles,1983-06-07,0,3,6
male_cones,1983-06-07,0.8,3,6
pine_needles,1983-06-07,6.6,3,6
spruce_needles,1983-06-07,2,3,6
structural,1983-06-07,11.08,3,6
total_litter,1983-06-07,20.68,3,6
alder_leaves,1983-06-07,0,3,7
aspen_leaves,1983-06-07,0.12,3,7
female_cones,1983-06-07,0,3,7
fir_needles,1983-06-07,0,3,7
male_cones,1983-06-07,0.52,3,7
pine_needles,1983-06-07,5.04,3,7
spruce_needles,1983-06-07,0,3,7
structural,1983-06-07,3.64,3,7
total_litter,1983-06-07,9.32,3,7
alder_leaves,1983-06-07,0,3,8
aspen_leaves,1983-06-07,0.48,3,8
female_cones,1983-06-07,0,3,8
fir_needles,1983-06-07,0,3,8
male_cones,1983-06-07,0.76,3,8
pine_needles,1983-06-07,4.92,3,8
spruce_needles,1983-06-07,0,3,8
structural,1983-06-07,5.16,3,8
total_litter,1983-06-07,11.32,3,8
alder_leaves,1983-06-07,0,3,9
aspen_leaves,1983-06-07,0.72,3,9
female_cones,1983-06-07,0,3,9
fir_needles,1983-06-07,0,3,9
male_cones,1983-06-07,0.92,3,9
pine_needles,1983-06-07,4.52,3,9
spruce_needles,1983-06-07,0,3,9
structural,1983-06-07,2.08,3,9
total_litter,1983-06-07,8.24,3,9
alder_leaves,1983-06-07,0.32,3,10
aspen_leaves,1983-06-07,0.16,3,10
female_cones,1983-06-07,0,3,10
fir_needles,1983-06-07,0,3,10
male_cones,1983-06-07,0.68,3,10
pine_needles,1983-06-07,5.48,3,10
spruce_needles,1983-06-07,0,3,10
structural,1983-06-07,3.88,3,10
total_litter,1983-06-07,10.52,3,10
alder_leaves,1983-07-02,0,3,1
aspen_leaves,1983-07-02,0,3,1
female_cones,1983-07-02,0,3,1
fir_needles,1983-07-02,0,3,1
male_cones,1983-07-02,6,3,1
pine_needles,1983-07-02,16.24,3,1
spruce_needles,1983-07-02,0,3,1
structural,1983-07-02,3.8,3,1
total_litter,1983-07-02,26.04,3,1
alder_leaves,1983-07-02,0.84,3,2
aspen_leaves,1983-07-02,0,3,2
female_cones,1983-07-02,0,3,2
fir_needles,1983-07-02,0,3,2
male_cones,1983-07-02,4.88,3,2
pine_needles,1983-07-02,15,3,2
spruce_needles,1983-07-02,0.56,3,2
structural,1983-07-02,2.12,3,2
total_litter,1983-07-02,23.4,3,2
alder_leaves,1983-07-02,0,3,3
aspen_leaves,1983-07-02,0,3,3
female_cones,1983-07-02,0,3,3
fir_needles,1983-07-02,0,3,3
male_cones,1983-07-02,6.16,3,3
pine_needles,1983-07-02,14.6,3,3
spruce_needles,1983-07-02,0,3,3
structural,1983-07-02,0,3,3
total_litter,1983-07-02,20.76,3,3
alder_leaves,1983-07-02,0.52,3,4
aspen_leaves,1983-07-02,0,3,4
female_cones,1983-07-02,0,3,4
fir_needles,1983-07-02,0,3,4
male_cones,1983-07-02,7.16,3,4
pine_needles,1983-07-02,12,3,4
spruce_needles,1983-07-02,0,3,4
structural,1983-07-02,0,3,4
total_litter,1983-07-02,19.68,3,4
alder_leaves,1983-07-02,0.4,3,5
aspen_leaves,1983-07-02,0,3,5
female_cones,1983-07-02,0,3,5
fir_needles,1983-07-02,0,3,5
male_cones,1983-07-02,5.2,3,5
pine_needles,1983-07-02,15.48,3,5
spruce_needles,1983-07-02,0,3,5
structural,1983-07-02,0,3,5
total_litter,1983-07-02,21.08,3,5
alder_leaves,1983-07-02,0,3,6
aspen_leaves,1983-07-02,0,3,6
female_cones,1983-07-02,0,3,6
fir_needles,1983-07-02,0,3,6
male_cones,1983-07-02,3.84,3,6
pine_needles,1983-07-02,10.28,3,6
spruce_needles,1983-07-02,1.84,3,6
structural,1983-07-02,17.56,3,6
total_litter,1983-07-02,33.52,3,6
alder_leaves,1983-07-02,0,3,7
aspen_leaves,1983-07-02,0.08,3,7
female_cones,1983-07-02,0,3,7
fir_needles,1983-07-02,0,3,7
male_cones,1983-07-02,5.76,3,7
pine_needles,1983-07-02,9.2,3,7
spruce_needles,1983-07-02,0,3,7
structural,1983-07-02,2.04,3,7
total_litter,1983-07-02,17.08,3,7
alder_leaves,1983-07-02,0,3,8
aspen_leaves,1983-07-02,0.32,3,8
female_cones,1983-07-02,0,3,8
fir_needles,1983-07-02,0,3,8
