component,sample_date,biomass,site,trap_number
male_cones,1983-07-03,0.097834,js,12
structural,1983-07-03,0.063246,js,12
total_litter,1983-07-03,1.55868,js,12
pine_needles,1983-07-28,0.88472,js,12
male_cones,1983-07-28,0.070679,js,12
structural,1983-07-28,0.34254,js,12
total_litter,1983-07-28,1.2184,js,12
pine_needles,1983-08-28,0.49995,js,12
male_cones,1983-08-28,0.0435624,js,12
structural,1983-08-28,0.27502,js,12
total_litter,1983-08-28,0.81852,js,12
pine_needles,1983-09-08,6.8114,js,12
male_cones,1983-09-08,0.4115,js,12
structural,1983-09-08,0,js,12
total_litter,1983-09-08,7.2229,js,12
pine_needles,1983-09-25,1.58762,js,12
male_cones,1983-09-25,0,js,12
structural,1983-09-25,0.147267,js,12
total_litter,1983-09-25,1.73489,js,12
pine_needles,1983-10-07,1.16281,js,12
male_cones,1983-10-07,0,js,12
structural,1983-10-07,0,js,12
total_litter,1983-10-07,1.16281,js,12
pine_needles,1984-05-13,7.8147,js,12
male_cones,1984-05-13,0,js,12
structural,1984-05-13,1.03219,js,12
total_litter,1984-05-13,8.1381,js,12
pine_needles,1983-06-04,1.08,lf,1
male_cones,1983-06-04,0.12,lf,1
structural,1983-06-04,1.64,lf,1
total_litter,1983-06-04,2.84,lf,1
pine_needles,1983-07-02,5.52,lf,1
male_cones,1983-07-02,0.84,lf,1
structural,1983-07-02,2.16,lf,1
total_litter,1983-07-02,8.52,lf,1
pine_needles,1983-07-29,6.4,lf,1
male_cones,1983-07-29,2.08,lf,1
structural,1983-07-29,3.92,lf,1
total_litter,1983-07-29,12.4,lf,1
pine_needles,1983-08-27,5.8,lf,1
male_cones,1983-08-27,0.4,lf,1
structural,1983-08-27,1.96,lf,1
total_litter,1983-08-27,8.16,lf,1
pine_needles,1983-09-11,1.92,lf,1
male_cones,1983-09-11,0.04,lf,1
structural,1983-09-11,0.4,lf,1
total_litter,1983-09-11,2.36,lf,1
pine_needles,1983-09-24,12.68,lf,1
male_cones,1983-09-24,0.08,lf,1
structural,1983-09-24,12.8,lf,1
total_litter,1983-09-24,25.56,lf,1
pine_needles,1983-10-07,7.92,lf,1
male_cones,1983-10-07,0.04,lf,1
structural,1983-10-07,0.04,lf,1
total_litter,1983-10-07,8,lf,1
pine_needles,1984-05-12,41.48,lf,1
male_cones,1984-05-12,0.04,lf,1
structural,1984-05-12,2.4,lf,1
total_litter,1984-05-12,43.92,lf,1
pine_needles,1983-06-04,0.96,lf,2
male_cones,1983-06-04,0.08,lf,2
structural,1983-06-04,0.04,lf,2
total_litter,1983-06-04,1.08,lf,2
pine_needles,1983-07-02,6.24,lf,2
male_cones,1983-07-02,1,lf,2
structural,1983-07-02,0.16,lf,2
total_litter,1983-07-02,7.4,lf,2
pine_needles,1983-07-29,4.4,lf,2
male_cones,1983-07-29,1.32,lf,2
structural,1983-07-29,0.48,lf,2
total_litter,1983-07-29,6.2,lf,2
pine_needles,1983-08-27,6.16,lf,2
male_cones,1983-08-27,0.24,lf,2
structural,1983-08-27,0.6,lf,2
total_litter,1983-08-27,7,lf,2
pine_needles,1983-09-11,3,lf,2
male_cones,1983-09-11,0.04,lf,2
structural,1983-09-11,0.08,lf,2
total_litter,1983-09-11,3.12,lf,2
pine_needles,1983-09-24,11.88,lf,2
male_cones,1983-09-24,0.08,lf,2
structural,1983-09-24,0.04,lf,2
total_litter,1983-09-24,12,lf,2
pine_needles,1983-10-07,9.64,lf,2
male_cones,1983-10-07,0.04,lf,2
structural,1983-10-07,0,lf,2
total_litter,1983-10-07,9.68,lf,2
pine_needles,1984-05-12,40.84,lf,2
male_cones,1984-05-12,0,lf,2
structural,1984-05-12,0.04,lf,2
total_litter,1984-05-12,40.88,lf,2
pine_needles,1983-06-04,3.68,lf,3
male_cones,1983-06-04,0.2,lf,3
structural,1983-06-04,2.04,lf,3
total_litter,1983-06-04,5.92,lf,3
pine_needles,1983-07-02,6.36,lf,3
male_cones,1983-07-02,1.16,lf,3
structural,1983-07-02,2.16,lf,3
total_litter,1983-07-02,9.68,lf,3
pine_needles,1983-07-29,5.68,lf,3
male_cones,1983-07-29,0.96,lf,3
structural,1983-07-29,0.48,lf,3
total_litter,1983-07-29,7.12,lf,3
pine_needles,1983-08-27,5.56,lf,3
male_cones,1983-08-27,0.24,lf,3
structural,1983-08-27,0.28,lf,3
total_litter,1983-08-27,6.08,lf,3
pine_needles,1983-09-11,2.28,lf,3
male_cones,1983-09-11,0.04,lf,3
structural,1983-09-11,0.16,lf,3
total_litter,1983-09-11,2.48,lf,3
pine_needles,1983-09-24,NA,lf,3
male_cones,1983-09-24,NA,lf,3
structural,1983-09-24,NA,lf,3
total_litter,1983-09-24,NA,lf,3
pine_needles,1983-10-07,6.12,lf,3
male_cones,1983-10-07,0.08,lf,3
structural,1983-10-07,0.04,lf,3
total_litter,1983-10-07,6.24,lf,3
pine_needles,1984-05-12,31.96,lf,3
male_cones,1984-05-12,0.04,lf,3
structural,1984-05-12,3.2,lf,3
total_litter,1984-05-12,35.2,lf,3
pine_needles,1983-06-04,3.16,lf,4
male_cones,1983-06-04,0.2,lf,4
structural,1983-06-04,0.2,lf,4
total_litter,1983-06-04,3.56,lf,4
pine_needles,1983-07-02,7.52,lf,4
male_cones,1983-07-02,1.32,lf,4
structural,1983-07-02,1.12,lf,4
total_litter,1983-07-02,9.96,lf,4
pine_needles,1983-07-29,5.12,lf,4
male_cones,1983-07-29,1.4,lf,4
structural,1983-07-29,4.48,lf,4
total_litter,1983-07-29,11,lf,4
pine_needles,1983-08-27,4.44,lf,4
male_cones,1983-08-27,0.24,lf,4
structural,1983-08-27,0.52,lf,4
total_litter,1983-08-27,5.2,lf,4
pine_needles,1983-09-11,NA,lf,4
male_cones,1983-09-11,NA,lf,4
structural,1983-09-11,NA,lf,4
total_litter,1983-09-11,NA,lf,4
pine_needles,1983-09-24,17.16,lf,4
male_cones,1983-09-24,0.04,lf,4
structural,1983-09-24,0.96,lf,4
total_litter,1983-09-24,18.16,lf,4
pine_needles,1983-10-07,7.04,lf,4
male_cones,1983-10-07,0.04,lf,4
structural,1983-10-07,0.04,lf,4
total_litter,1983-10-07,7.12,lf,4
pine_needles,1984-05-12,40.6,lf,4
male_cones,1984-05-12,0.04,lf,4
structural,1984-05-12,0.36,lf,4
total_litter,1984-05-12,41,lf,4
pine_needles,1983-06-04,5.76,lf,5
male_cones,1983-06-04,0.12,lf,5
structural,1983-06-04,6.88,lf,5
total_litter,1983-06-04,12.76,lf,5
pine_needles,1983-07-02,NA,lf,5
male_cones,1983-07-02,NA,lf,5
structural,1983-07-02,NA,lf,5
total_litter,1983-07-02,NA,lf,5
pine_needles,1983-07-29,6.8,lf,5
male_cones,1983-07-29,2.76,lf,5
structural,1983-07-29,2.36,lf,5
total_litter,1983-07-29,11.92,lf,5
pine_needles,1983-08-27,NA,lf,5
male_cones,1983-08-27,NA,lf,5
structural,1983-08-27,NA,lf,5
total_litter,1983-08-27,NA,lf,5
pine_needles,1983-09-11,3.04,lf,5
male_cones,1983-09-11,0.04,lf,5
structural,1983-09-11,0.2,lf,5
total_litter,1983-09-11,3.28,lf,5
pine_needles,1983-09-24,8.92,lf,5
male_cones,1983-09-24,0.12,lf,5
structural,1983-09-24,0.08,lf,5
total_litter,1983-09-24,9.12,lf,5
pine_needles,1983-10-07,4.28,lf,5
male_cones,1983-10-07,0.08,lf,5
structural,1983-10-07,0.04,lf,5
total_litter,1983-10-07,4.4,lf,5
pine_needles,1984-05-12,37.92,lf,5
male_cones,1984-05-12,0.12,lf,5
structural,1984-05-12,0.68,lf,5
total_litter,1984-05-12,38.72,lf,5
pine_needles,1983-06-04,3,lf,6
male_cones,1983-06-04,0.12,lf,6
structural,1983-06-04,0.72,lf,6
total_litter,1983-06-04,3.84,lf,6
pine_needles,1983-07-02,4.96,lf,6
male_cones,1983-07-02,1.04,lf,6
structural,1983-07-02,2.16,lf,6
total_litter,1983-07-02,8.16,lf,6
pine_needles,1983-07-29,10.12,lf,6
male_cones,1983-07-29,1.44,lf,6
structural,1983-07-29,2.48,lf,6
total_litter,1983-07-29,14.04,lf,6
pine_needles,1983-08-27,4.2,lf,6
male_cones,1983-08-27,0.32,lf,6
structural,1983-08-27,0.96,lf,6
total_litter,1983-08-27,5.48,lf,6
pine_needles,1983-09-11,3.2,lf,6
male_cones,1983-09-11,0.04,lf,6
structural,1983-09-11,1.64,lf,6
total_litter,1983-09-11,4.88,lf,6
pine_needles,1983-09-24,16.48,lf,6
male_cones,1983-09-24,0.04,lf,6
structural,1983-09-24,2.48,lf,6
total_litter,1983-09-24,19,lf,6
pine_needles,1983-10-07,7.84,lf,6
male_cones,1983-10-07,0.04,lf,6
structural,1983-10-07,0.12,lf,6
total_litter,1983-10-07,8,lf,6
pine_needles,1984-05-12,45.36,lf,6
male_cones,1984-05-12,0.04,lf,6
structural,1984-05-12,2.16,lf,6
total_litter,1984-05-12,47.56,lf,6
pine_needles,1983-06-04,3.32,lf,7
male_cones,1983-06-04,0.24,lf,7
structural,1983-06-04,0.12,lf,7
total_litter,1983-06-04,3.68,lf,7
pine_needles,1983-07-02,7.12,lf,7
male_cones,1983-07-02,1,lf,7
structural,1983-07-02,0.32,lf,7
total_litter,1983-07-02,8.44,lf,7
pine_needles,1983-07-29,5.52,lf,7
male_cones,1983-07-29,1.28,lf,7
structural,1983-07-29,0.6,lf,7
total_litter,1983-07-29,7.4,lf,7
pine_needles,1983-08-27,5.2,lf,7
male_cones,1983-08-27,0.68,lf,7
structural,1983-08-27,7.44,lf,7
total_litter,1983-08-27,13.32,lf,7
pine_needles,1983-09-11,NA,lf,7
male_cones,1983-09-11,NA,lf,7
structural,1983-09-11,NA,lf,7
total_litter,1983-09-11,NA,lf,7
pine_needles,1983-09-24,15.92,lf,7
male_cones,1983-09-24,0.04,lf,7
structural,1983-09-24,0.28,lf,7
total_litter,1983-09-24,16.24,lf,7
pine_needles,1983-10-07,8.56,lf,7
male_cones,1983-10-07,0,lf,7
structural,1983-10-07,0.04,lf,7
total_litter,1983-10-07,8.6,lf,7
pine_needles,1984-05-12,48.16,lf,7
male_cones,1984-05-12,0.08,lf,7
structural,1984-05-12,6.04,lf,7
total_litter,1984-05-12,54.28,lf,7
pine_needles,1983-06-04,4.4,lf,8
male_cones,1983-06-04,0.2,lf,8
structural,1983-06-04,1.08,lf,8
total_litter,1983-06-04,5.68,lf,8
pine_needles,1983-07-02,NA,lf,8
male_cones,1983-07-02,NA,lf,8
structural,1983-07-02,NA,lf,8
total_litter,1983-07-02,NA,lf,8
pine_needles,1983-07-29,7.88,lf,8
male_cones,1983-07-29,2.76,lf,8
structural,1983-07-29,3.6,lf,8
total_litter,1983-07-29,14.24,lf,8
pine_needles,1983-08-27,7,lf,8
male_cones,1983-08-27,0.48,lf,8
structural,1983-08-27,4.08,lf,8
total_litter,1983-08-27,11.56,lf,8
pine_needles,1983-09-11,2.16,lf,8
male_cones,1983-09-11,0.04,lf,8
structural,1983-09-11,2.96,lf,8
total_litter,1983-09-11,5.16,lf,8
pine_needles,1983-09-24,11,lf,8
male_cones,1983-09-24,0.04,lf,8
structural,1983-09-24,1.32,lf,8
total_litter,1983-09-24,12.36,lf,8
pine_needles,1983-10-07,6.84,lf,8
male_cones,1983-10-07,0,lf,8
structural,1983-10-07,0.24,lf,8
total_litter,1983-10-07,7.08,lf,8
pine_needles,1984-05-12,40.44,lf,8
male_cones,1984-05-12,0.04,lf,8
structural,1984-05-12,6.4,lf,8
total_litter,1984-05-12,46.88,lf,8
pine_needles,1983-06-04,3.16,lf,9
male_cones,1983-06-04,0.12,lf,9
structural,1983-06-04,0.96,lf,9
total_litter,1983-06-04,4.24,lf,9
pine_needles,1983-07-02,5.12,lf,9
male_cones,1983-07-02,0.88,lf,9
structural,1983-07-02,1.32,lf,9
total_litter,1983-07-02,7.32,lf,9
pine_needles,1983-07-29,3.4,lf,9
male_cones,1983-07-29,1.28,lf,9
structural,1983-07-29,0.72,lf,9
total_litter,1983-07-29,5.4,lf,9
pine_needles,1983-08-27,5.44,lf,9
male_cones,1983-08-27,0.2,lf,9
structural,1983-08-27,0.88,lf,9
total_litter,1983-08-27,6.52,lf,9
pine_needles,1983-09-11,1.36,lf,9
male_cones,1983-09-11,0.04,lf,9
structural,1983-09-11,0.24,lf,9
total_litter,1983-09-11,1.64,lf,9
pine_needles,1983-09-24,7.96,lf,9
male_cones,1983-09-24,0.04,lf,9
structural,1983-09-24,0.36,lf,9
total_litter,1983-09-24,8.36,lf,9
pine_needles,1983-10-07,5.2,lf,9
male_cones,1983-10-07,0,lf,9
structural,1983-10-07,0.04,lf,9
total_litter,1983-10-07,5.24,lf,9
pine_needles,1984-05-12,28.16,lf,9
male_cones,1984-05-12,0.12,lf,9
structural,1984-05-12,2.44,lf,9
total_litter,1984-05-12,30.72,lf,9
pine_needles,1983-06-04,3.08,lf,10
male_cones,1983-06-04,0.16,lf,10
structural,1983-06-04,0,lf,10
total_litter,1983-06-04,3.24,lf,10
pine_needles,1983-07-02,10.12,lf,10
male_cones,1983-07-02,2.16,lf,10
structural,1983-07-02,0,lf,10
total_litter,1983-07-02,12.28,lf,10
pine_needles,1983-07-29,8.2,lf,10
male_cones,1983-07-29,2.88,lf,10
structural,1983-07-29,1.04,lf,10
total_litter,1983-07-29,12.12,lf,10
pine_needles,1983-08-27,NA,lf,10
male_cones,1983-08-27,NA,lf,10
structural,1983-08-27,NA,lf,10
total_litter,1983-08-27,NA,lf,10
pine_needles,1983-09-11,NA,lf,10
male_cones,1983-09-11,NA,lf,10
structural,1983-09-11,NA,lf,10
total_litter,1983-09-11,NA,lf,10
pine_needles,1983-09-24,17.84,lf,10
male_cones,1983-09-24,0.08,lf,10
structural,1983-09-24,0.12,lf,10
total_litter,1983-09-24,18.04,lf,10
pine_needles,1983-10-07,9.96,lf,10
male_cones,1983-10-07,0.08,lf,10
structural,1983-10-07,0.04,lf,10
total_litter,1983-10-07,10.08,lf,10
pine_needles,1984-05-12,21.6,lf,10
male_cones,1984-05-12,0.04,lf,10
structural,1984-05-12,6.6,lf,10
total_litter,1984-05-12,28.24,lf,10
pine_needles,1983-06-04,3.16,lf,11
male_cones,1983-06-04,0.156,lf,11
structural,1983-06-04,1.368,lf,11
total_litter,1983-06-04,4.684,lf,11
pine_needles,1983-07-02,6.62,lf,11
male_cones,1983-07-02,1.175,lf,11
structural,1983-07-02,1.175,lf,11
total_litter,1983-07-02,8.97,lf,11
pine_needles,1983-07-29,6.352,lf,11
male_cones,1983-07-29,1.816,lf,11
structural,1983-07-29,2.016,lf,11
total_litter,1983-07-29,10.184,lf,11
pine_needles,1983-08-27,5.475,lf,11
male_cones,1983-08-27,0.35,lf,11
structural,1983-08-27,2.09,lf,11
total_litter,1983-08-27,7.915,lf,11
pine_needles,1983-09-11,2.42286,lf,11
male_cones,1983-09-11,0.04,lf,11
structural,1983-09-11,0.81143,lf,11
total_litter,1983-09-11,3.27428,lf,11
pine_needles,1983-09-24,13.3156,lf,11
male_cones,1983-09-24,0.062222,lf,11
structural,1983-09-24,2.0489,lf,11
total_litter,1983-09-24,15.4267,lf,11
pine_needles,1983-10-07,7.34,lf,11
male_cones,1983-10-07,0.04,lf,11
structural,1983-10-07,0.064,lf,11
total_litter,1983-10-07,7.444,lf,11
pine_needles,1984-05-12,37.652,lf,11
male_cones,1984-05-12,1.248,lf,11
structural,1984-05-12,3.032,lf,11
total_litter,1984-05-12,40.74,lf,11
pine_needles,1983-06-04,1.406,lf,12
male_cones,1983-06-04,0.051467,lf,12
structural,1983-06-04,2.0584,lf,12
total_litter,1983-06-04,3.1516,lf,12
pine_needles,1983-07-02,1.6792,lf,12
male_cones,1983-07-02,0.42598,lf,12
structural,1983-07-02,0.93171,lf,12
total_litter,1983-07-02,1.6374,lf,12
pine_needles,1983-07-29,1.9815,lf,12
male_cones,1983-07-29,0.73423,lf,12
structural,1983-07-29,1.55972,lf,12
total_litter,1983-07-29,3.3259,lf,12
pine_needles,1983-08-27,0.90092,lf,12
male_cones,1983-08-27,0.16388,lf,12
structural,1983-08-27,2.48716,lf,12
total_litter,1983-08-27,3.5519,lf,12
pine_needles,1983-09-11,0.6819,lf,12
male_cones,1983-09-11,0,lf,12
structural,1983-09-11,1.09025,lf,12
total_litter,1983-09-11,1.77216,lf,12
pine_needles,1983-09-24,3.6721,lf,12
male_cones,1983-09-24,0.029059,lf,12
structural,1983-09-24,4.1095,lf,12
total_litter,1983-09-24,5.4917,lf,12
pine_needles,1983-10-07,1.82576,lf,12
male_cones,1983-10-07,0.03266,lf,12
structural,1983-10-07,0.068508,lf,12
total_litter,1983-10-07,1.817,lf,12
pine_needles,1984-05-12,8.106,lf,12
male_cones,1984-05-12,3.764,lf,12
structural,1984-05-12,2.50076,lf,12
total_litter,1984-05-12,7.9524,lf,12
pine_needles,1983-06-01,4.8,ml,1
male_cones,1983-06-01,0.04,ml,1
structural,1983-06-01,0.08,ml,1
total_litter,1983-06-01,4.92,ml,1
pine_needles,1983-06-29,10.28,ml,1
male_cones,1983-06-29,1.36,ml,1
structural,1983-06-29,0.12,ml,1
total_litter,1983-06-29,11.76,ml,1
pine_needles,1983-08-04,6.48,ml,1
male_cones,1983-08-04,1.96,ml,1
structural,1983-08-04,1.04,ml,1
total_litter,1983-08-04,9.48,ml,1
pine_needles,1983-08-23,NA,ml,1
male_cones,1983-08-23,NA,ml,1
structural,1983-08-23,NA,ml,1
total_litter,1983-08-23,NA,ml,1
pine_needles,1983-09-07,2.56,ml,1
male_cones,1983-09-07,0,ml,1
structural,1983-09-07,0.96,ml,1
total_litter,1983-09-07,3.52,ml,1
pine_needles,1983-09-21,7.8,ml,1
male_cones,1983-09-21,0,ml,1
structural,1983-09-21,0.52,ml,1
total_litter,1983-09-21,8.32,ml,1
pine_needles,1983-10-06,17.08,ml,1
male_cones,1983-10-06,0,ml,1
structural,1983-10-06,22.12,ml,1
total_litter,1983-10-06,39.2,ml,1
pine_needles,1984-05-03,45.04,ml,1
male_cones,1984-05-03,0.04,ml,1
structural,1984-05-03,0.96,ml,1
total_litter,1984-05-03,46.04,ml,1
alder_leaves,1983-10-06,0,ml,1
alder_leaves,1984-05-03,0,ml,1
pine_needles,1983-06-01,2.8,ml,2
male_cones,1983-06-01,0,ml,2
structural,1983-06-01,0.72,ml,2
total_litter,1983-06-01,3.52,ml,2
pine_needles,1983-06-29,9.52,ml,2
male_cones,1983-06-29,2.76,ml,2
structural,1983-06-29,1.76,ml,2
total_litter,1983-06-29,14.04,ml,2
pine_needles,1983-08-04,5.72,ml,2
male_cones,1983-08-04,3,ml,2
structural,1983-08-04,0.84,ml,2
total_litter,1983-08-04,9.56,ml,2
pine_needles,1983-08-23,3.24,ml,2
male_cones,1983-08-23,0.16,ml,2
structural,1983-08-23,0.36,ml,2
total_litter,1983-08-23,3.76,ml,2
pine_needles,1983-09-07,2.16,ml,2
male_cones,1983-09-07,0.04,ml,2
structural,1983-09-07,6.12,ml,2
total_litter,1983-09-07,8.32,ml,2
pine_needles,1983-09-21,6.72,ml,2
male_cones,1983-09-21,0,ml,2
structural,1983-09-21,0,ml,2
total_litter,1983-09-21,6.72,ml,2
pine_needles,1983-10-06,5.76,ml,2
male_cones,1983-10-06,0.04,ml,2
structural,1983-10-06,0.28,ml,2
total_litter,1983-10-06,17.48,ml,2
pine_needles,1984-05-03,45.6,ml,2
male_cones,1984-05-03,0,ml,2
structural,1984-05-03,0.88,ml,2
total_litter,1984-05-03,46.48,ml,2
alder_leaves,1983-10-06,0,ml,2
alder_leaves,1984-05-03,0,ml,2
pine_needles,1983-06-01,3.52,ml,3
male_cones,1983-06-01,0.04,ml,3
structural,1983-06-01,3.12,ml,3
total_litter,1983-06-01,6.68,ml,3
pine_needles,1983-06-29,9.6,ml,3
male_cones,1983-06-29,1.76,ml,3
structural,1983-06-29,5.56,ml,3
total_litter,1983-06-29,16.92,ml,3
pine_needles,1983-08-04,10.08,ml,3
male_cones,1983-08-04,1.68,ml,3
structural,1983-08-04,9.36,ml,3
total_litter,1983-08-04,21.12,ml,3
pine_needles,1983-08-23,7.16,ml,3
male_cones,1983-08-23,0.24,ml,3
structural,1983-08-23,1.44,ml,3
total_litter,1983-08-23,8.84,ml,3
pine_needles,1983-09-07,3.44,ml,3
male_cones,1983-09-07,0.04,ml,3
structural,1983-09-07,2.48,ml,3
total_litter,1983-09-07,5.96,ml,3
pine_needles,1983-09-21,8.92,ml,3
male_cones,1983-09-21,0.04,ml,3
structural,1983-09-21,2.8,ml,3
total_litter,1983-09-21,11.76,ml,3
pine_needles,1983-10-06,17.16,ml,3
male_cones,1983-10-06,0.16,ml,3
structural,1983-10-06,0.24,ml,3
total_litter,1983-10-06,8.72,ml,3
pine_needles,1984-05-03,48.28,ml,3
male_cones,1984-05-03,0.12,ml,3
structural,1984-05-03,11.36,ml,3
total_litter,1984-05-03,59.76,ml,3
alder_leaves,1983-10-06,2.56,ml,3
alder_leaves,1984-05-03,0,ml,3
pine_needles,1983-06-01,5.92,ml,4
male_cones,1983-06-01,0.04,ml,4
structural,1983-06-01,1.28,ml,4
total_litter,1983-06-01,7.24,ml,4
pine_needles,1983-06-29,10.36,ml,4
male_cones,1983-06-29,1.92,ml,4
structural,1983-06-29,1.16,ml,4
total_litter,1983-06-29,13.44,ml,4
pine_needles,1983-08-04,7.28,ml,4
male_cones,1983-08-04,2.16,ml,4
structural,1983-08-04,1.76,ml,4
total_litter,1983-08-04,11.2,ml,4
pine_needles,1983-08-23,3.72,ml,4
male_cones,1983-08-23,0.08,ml,4
structural,1983-08-23,0.72,ml,4
total_litter,1983-08-23,4.52,ml,4
pine_needles,1983-09-07,NA,ml,4
male_cones,1983-09-07,NA,ml,4
structural,1983-09-07,NA,ml,4
total_litter,1983-09-07,NA,ml,4
pine_needles,1983-09-21,5.72,ml,4
male_cones,1983-09-21,0.04,ml,4
structural,1983-09-21,0.8,ml,4
total_litter,1983-09-21,6.56,ml,4
pine_needles,1983-10-06,14.52,ml,4
male_cones,1983-10-06,0,ml,4
structural,1983-10-06,0.12,ml,4
total_litter,1983-10-06,14.64,ml,4
pine_needles,1984-05-03,24.44,ml,4
male_cones,1984-05-03,0,ml,4
structural,1984-05-03,6.6,ml,4
total_litter,1984-05-03,31.04,ml,4
alder_leaves,1983-10-06,0,ml,4
alder_leaves,1984-05-03,0,ml,4
pine_needles,1983-06-01,2.8,ml,5
male_cones,1983-06-01,0.04,ml,5
structural,1983-06-01,0,ml,5
total_litter,1983-06-01,2.84,ml,5
pine_needles,1983-06-29,6.48,ml,5
male_cones,1983-06-29,1.92,ml,5
structural,1983-06-29,0.08,ml,5
total_litter,1983-06-29,8.48,ml,5
pine_needles,1983-08-04,2.8,ml,5
male_cones,1983-08-04,3.6,ml,5
structural,1983-08-04,0.08,ml,5
total_litter,1983-08-04,6.48,ml,5
pine_needles,1983-08-23,1.44,ml,5
male_cones,1983-08-23,0.32,ml,5
structural,1983-08-23,0.2,ml,5
total_litter,1983-08-23,1.96,ml,5
pine_needles,1983-09-07,0.8,ml,5
male_cones,1983-09-07,0.04,ml,5
structural,1983-09-07,0.56,ml,5
total_litter,1983-09-07,1.4,ml,5
pine_needles,1983-09-21,6.12,ml,5
male_cones,1983-09-21,0.04,ml,5
structural,1983-09-21,0.12,ml,5
total_litter,1983-09-21,6.28,ml,5
pine_needles,1983-10-06,6.12,ml,5
male_cones,1983-10-06,0,ml,5
structural,1983-10-06,0,ml,5
total_litter,1983-10-06,6.16,ml,5
pine_needles,1984-05-03,46.44,ml,5
male_cones,1984-05-03,0.04,ml,5
structural,1984-05-03,8.2,ml,5
total_litter,1984-05-03,61.36,ml,5
alder_leaves,1983-10-06,0.04,ml,5
alder_leaves,1984-05-03,6.68,ml,5
pine_needles,1983-06-01,2.16,ml,6
male_cones,1983-06-01,0.04,ml,6
structural,1983-06-01,0.08,ml,6
total_litter,1983-06-01,2.28,ml,6
pine_needles,1983-06-29,7.08,ml,6
male_cones,1983-06-29,0.44,ml,6
structural,1983-06-29,0.08,ml,6
total_litter,1983-06-29,7.6,ml,6
pine_needles,1983-08-04,4.84,ml,6
male_cones,1983-08-04,0.32,ml,6
structural,1983-08-04,0.16,ml,6
total_litter,1983-08-04,5.32,ml,6
pine_needles,1983-08-23,1.92,ml,6
male_cones,1983-08-23,0,ml,6
structural,1983-08-23,0.32,ml,6
total_litter,1983-08-23,2.24,ml,6
pine_needles,1983-09-07,1,ml,6
male_cones,1983-09-07,0,ml,6
structural,1983-09-07,0.04,ml,6
total_litter,1983-09-07,1.04,ml,6
pine_needles,1983-09-21,6.04,ml,6
male_cones,1983-09-21,0.08,ml,6
structural,1983-09-21,0.24,ml,6
total_litter,1983-09-21,6.36,ml,6
pine_needles,1983-10-06,9.28,ml,6
male_cones,1983-10-06,0,ml,6
structural,1983-10-06,0.04,ml,6
total_litter,1983-10-06,9.32,ml,6
pine_needles,1984-05-03,24.04,ml,6
male_cones,1984-05-03,0,ml,6
structural,1984-05-03,0.56,ml,6
total_litter,1984-05-03,24.6,ml,6
alder_leaves,1983-10-06,0,ml,6
alder_leaves,1984-05-03,0,ml,6
pine_needles,1983-06-01,3.24,ml,7
male_cones,1983-06-01,0.16,ml,7
structural,1983-06-01,0.44,ml,7
total_litter,1983-06-01,3.84,ml,7
pine_needles,1983-06-29,2.84,ml,7
male_cones,1983-06-29,0.28,ml,7
structural,1983-06-29,0,ml,7
total_litter,1983-06-29,3.12,ml,7
pine_needles,1983-08-04,2.08,ml,7
male_cones,1983-08-04,0.6,ml,7
structural,1983-08-04,0,ml,7
total_litter,1983-08-04,2.68,ml,7
pine_needles,1983-08-23,NA,ml,7
male_cones,1983-08-23,NA,ml,7
structural,1983-08-23,NA,ml,7
total_litter,1983-08-23,NA,ml,7
pine_needles,1983-09-07,0.6,ml,7
male_cones,1983-09-07,0.04,ml,7
structural,1983-09-07,0,ml,7
total_litter,1983-09-07,0.64,ml,7
pine_needles,1983-09-21,3.16,ml,7
male_cones,1983-09-21,0,ml,7
structural,1983-09-21,0.04,ml,7
total_litter,1983-09-21,3.2,ml,7
pine_needles,1983-10-06,4.52,ml,7
male_cones,1983-10-06,0.04,ml,7
structural,1983-10-06,0,ml,7
total_litter,1983-10-06,4.56,ml,7
pine_needles,1984-05-03,26.36,ml,7
male_cones,1984-05-03,0,ml,7
structural,1984-05-03,0.08,ml,7
total_litter,1984-05-03,26.44,ml,7
alder_leaves,1983-10-06,0,ml,7
alder_leaves,1984-05-03,0,ml,7
pine_needles,1983-06-01,0.88,ml,8
male_cones,1983-06-01,0.04,ml,8
structural,1983-06-01,0.28,ml,8
total_litter,1983-06-01,1.2,ml,8
pine_needles,1983-06-29,2,ml,8
male_cones,1983-06-29,0.24,ml,8
structural,1983-06-29,0.04,ml,8
total_litter,1983-06-29,2.28,ml,8
pine_needles,1983-08-04,1.12,ml,8
male_cones,1983-08-04,0.08,ml,8
structural,1983-08-04,0,ml,8
total_litter,1983-08-04,1.2,ml,8
pine_needles,1983-08-23,0.48,ml,8
male_cones,1983-08-23,0.04,ml,8
structural,1983-08-23,0.04,ml,8
total_litter,1983-08-23,0.56,ml,8
pine_needles,1983-09-07,NA,ml,8
male_cones,1983-09-07,NA,ml,8
structural,1983-09-07,NA,ml,8
total_litter,1983-09-07,NA,ml,8
pine_needles,1983-09-21,3.2,ml,8
male_cones,1983-09-21,0,ml,8
structural,1983-09-21,0.24,ml,8
total_litter,1983-09-21,3.44,ml,8
pine_needles,1983-10-06,14.48,ml,8
male_cones,1983-10-06,0,ml,8
structural,1983-10-06,0,ml,8
total_litter,1983-10-06,14.48,ml,8
pine_needles,1984-05-03,8.52,ml,8
male_cones,1984-05-03,0,ml,8
